year,lgID,tmID,playoff,made_playoff,,G,W,L,T,OTL,Pts,Pts/gm,SoW,SoL,GF,GA,PIM,PIM/gm,PPG,PPC,SHA,PKG,PKC,GF/gm,GA/gm
1987,NHL,EDM,SC,1,,80,44,25,11,,99,1.24,,,363,288,2173,27.2,88,402,11,86,447,4.54,3.6
1987,NHL,HAR,DSF,1,,80,35,38,7,,77,0.96,,,249,267,2046,25.6,84,477,17,67,426,3.11,3.34
1987,NHL,LAK,DSF,1,,80,30,42,8,,68,0.85,,,318,359,2124,26.6,103,474,14,96,425,3.98,4.49
1987,NHL,MNS,,0,,80,19,48,13,,51,0.64,,,242,349,2313,28.9,81,450,16,108,436,3.02,4.36
1987,NHL,MTL,DF,1,,80,45,22,13,,103,1.29,,,298,238,1830,22.9,63,397,17,64,395,3.72,2.98
1987,NHL,NJD,CF,1,,80,38,36,6,,82,1.03,,,295,296,2315,28.9,98,479,12,101,467,3.69,3.7
1987,NHL,NYI,DSF,1,,80,39,31,10,,88,1.10,,,308,267,1732,21.7,87,387,8,94,416,3.85,3.34
1987,NHL,NYR,,0,,80,36,34,10,,82,1.03,,,300,283,1775,22.2,111,491,11,82,423,3.75,3.54
1987,NHL,PHI,DSF,1,,80,38,33,9,,85,1.06,,,292,292,2194,27.4,83,461,6,90,475,3.65,3.65
1987,NHL,PIT,,0,,80,36,35,9,,81,1.01,,,319,316,2211,27.6,110,500,19,120,507,3.99,3.95
1987,NHL,QUE,,0,,80,32,43,5,,69,0.86,,,271,306,2042,25.5,99,456,17,96,410,3.39,3.82
1987,NHL,STL,DF,1,,80,34,38,8,,76,0.95,,,278,294,1919,24.0,82,413,5,83,402,3.48,3.68
1987,NHL,TOR,DSF,1,,80,21,49,10,,52,0.65,,,273,345,1782,22.3,54,347,9,93,420,3.41,4.31
1987,NHL,VAN,,0,,80,25,46,9,,59,0.74,,,272,320,2196,27.5,81,435,18,83,404,3.4,4
1987,NHL,WAS,DF,1,,80,38,33,9,,85,1.06,,,281,249,1680,21.0,94,469,15,75,394,3.51,3.11
1987,NHL,WIN,DSF,1,,80,33,36,11,,77,0.96,,,292,310,2278,28.5,110,432,17,94,444,3.65,3.88
1988,NHL,BOS,DF,1,,80,37,29,14,,88,1.10,,,289,256,1929,24.1,85,429,4,67,374,3.61,3.2
1988,NHL,BUF,DSF,1,,80,38,35,7,,83,1.04,,,291,299,2034,25.4,78,380,12,86,410,3.64,3.74
1988,NHL,CAL,SC,1,,80,54,17,9,,117,1.46,,,354,226,2444,30.6,101,405,8,78,457,4.42,2.82
1988,NHL,CHI,CF,1,,80,27,41,12,,66,0.83,,,297,335,2496,31.2,91,434,16,122,481,3.71,4.19
1988,NHL,DET,DSF,1,,80,34,34,12,,80,1.00,,,313,316,2245,28.1,73,352,8,79,426,3.91,3.95
1988,NHL,EDM,DSF,1,,80,38,34,8,,84,1.05,,,325,306,1931,24.1,83,419,17,78,452,4.06,3.82
1988,NHL,HAR,DSF,1,,80,37,38,5,,79,0.99,,,299,290,1672,20.9,87,418,18,70,377,3.74,3.62
1988,NHL,LAK,DF,1,,80,42,31,7,,91,1.14,,,376,335,2215,27.7,82,395,13,80,407,4.7,4.19
1988,NHL,MNS,DSF,1,,80,27,37,16,,70,0.88,,,258,278,1972,24.7,78,392,9,82,441,3.22,3.48
1988,NHL,MTL,F,1,,80,53,18,9,,115,1.44,,,315,218,1537,19.2,80,381,13,58,326,3.94,2.72
1988,NHL,NJD,,0,,80,27,41,12,,66,0.83,,,281,325,2499,31.2,85,466,15,115,467,3.51,4.06
1988,NHL,NYI,,0,,80,28,47,5,,61,0.76,,,265,325,1822,22.8,85,378,7,103,390,3.31,4.06
1988,NHL,NYR,DSF,1,,80,37,35,8,,82,1.03,,,310,307,1891,23.6,85,457,17,85,371,3.88,3.84
1988,NHL,PHI,CF,1,,80,36,36,8,,80,1.00,,,307,285,2317,29.0,98,367,9,80,432,3.84,3.56
1988,NHL,PIT,DF,1,,80,40,33,7,,87,1.09,,,347,349,2670,33.4,119,491,16,111,482,4.34,4.36
1988,NHL,QUE,,0,,80,27,46,7,,61,0.76,,,269,342,2004,25.1,85,392,12,82,385,3.36,4.28
1988,NHL,STL,DF,1,,80,33,35,12,,78,0.98,,,275,285,1675,20.9,74,370,12,83,356,3.44,3.56
1988,NHL,TOR,,0,,80,28,46,6,,62,0.78,,,259,342,1740,21.8,56,334,14,98,359,3.24,4.28
1988,NHL,VAN,DSF,1,,80,33,39,8,,74,0.93,,,251,253,1569,19.6,78,410,14,66,341,3.14,3.16
1988,NHL,WAS,DSF,1,,80,41,29,10,,92,1.15,,,305,259,1836,23.0,96,443,13,73,362,3.81,3.24
1988,NHL,WIN,,0,,80,26,42,12,,64,0.80,,,300,355,1843,23.0,79,357,13,82,374,3.75,4.44
1989,NHL,BOS,F,1,,80,46,25,9,,101,1.26,,,289,232,1458,18.2,83,352,3,53,316,3.61,2.9
1989,NHL,BUF,DSF,1,,80,45,27,8,,98,1.23,,,286,248,1449,18.1,79,358,7,58,351,3.58,3.1
1989,NHL,CAL,DSF,1,,80,42,23,15,,99,1.24,,,348,265,1751,21.9,99,357,6,76,366,4.35,3.31
1989,NHL,CHI,CF,1,,80,41,33,6,,88,1.10,,,316,294,2426,30.3,80,349,9,75,379,3.95,3.68
1989,NHL,DET,,0,,80,28,38,14,,70,0.88,,,288,323,2140,26.8,58,354,13,92,372,3.6,4.04
1989,NHL,EDM,SC,1,,80,38,28,14,,90,1.13,,,315,283,2046,25.6,84,407,6,82,417,3.94,3.54
1989,NHL,HAR,DSF,1,,80,38,33,9,,85,1.06,,,275,268,2102,26.3,80,398,10,74,401,3.44,3.35
1989,NHL,LAK,DF,1,,80,34,39,7,,75,0.94,,,338,337,1844,23.1,76,343,14,88,366,4.22,4.21
1989,NHL,MNS,DSF,1,,80,36,40,4,,76,0.95,,,284,291,2041,25.5,81,386,16,74,397,3.55,3.64
1989,NHL,MTL,DF,1,,80,41,28,11,,93,1.16,,,288,234,1590,19.9,54,340,7,57,295,3.6,2.92
1989,NHL,NJD,DSF,1,,80,37,34,9,,83,1.04,,,295,288,1659,20.7,64,337,12,67,340,3.69,3.6
1989,NHL,NYI,DSF,1,,80,31,38,11,,73,0.91,,,281,288,1777,22.2,78,330,8,87,371,3.51,3.6
1989,NHL,NYR,DF,1,,80,36,31,13,,85,1.06,,,279,267,2021,25.3,103,442,8,77,362,3.49,3.34
1989,NHL,PHI,,0,,80,30,39,11,,71,0.89,,,290,297,2067,25.8,65,338,13,77,406,3.62,3.71
1989,NHL,PIT,,0,,80,32,40,8,,72,0.90,,,318,359,2132,26.7,86,403,21,94,372,3.98,4.49
1989,NHL,QUE,,0,,80,12,61,7,,31,0.39,,,240,407,2104,26.3,70,371,15,98,382,3,5.09
1989,NHL,STL,DF,1,,80,37,34,9,,83,1.04,,,295,279,1809,22.6,79,351,12,67,351,3.69,3.49
1989,NHL,TOR,DSF,1,,80,38,38,4,,80,1.00,,,337,358,2419,30.2,81,348,17,89,408,4.21,4.47
1989,NHL,VAN,,0,,80,25,41,14,,64,0.80,,,245,306,1644,20.6,64,374,8,86,342,3.06,3.82
1989,NHL,WAS,CF,1,,80,36,38,6,,78,0.98,,,284,275,2204,27.6,70,412,15,71,370,3.55,3.44
1989,NHL,WIN,DSF,1,,80,37,32,11,,85,1.06,,,298,290,1639,20.5,65,347,7,57,333,3.72,3.62
1990,NHL,BOS,CF,1,,80,44,24,12,,100,1.25,,,299,264,1694,21.2,74,351,8,64,368,3.74,3.3
1990,NHL,BUF,DSF,1,,80,31,30,19,,81,1.01,,,292,278,1733,21.7,73,400,8,62,368,3.65,3.48
1990,NHL,CAL,DSF,1,,80,46,26,8,,100,1.25,,,344,263,2201,27.5,91,384,8,77,420,4.3,3.29
1990,NHL,CHI,DSF,1,,80,49,23,8,,106,1.33,,,284,211,2412,30.2,87,393,10,68,425,3.55,2.64
1990,NHL,DET,DSF,1,,80,34,38,8,,76,0.95,,,273,298,1940,24.3,57,347,5,89,399,3.41,3.72
1990,NHL,EDM,CF,1,,80,37,37,6,,80,1.00,,,272,272,1823,22.8,63,361,4,80,388,3.4,3.4
1990,NHL,HAR,DSF,1,,80,31,38,11,,73,0.91,,,238,276,2209,27.6,73,403,9,72,369,2.98,3.45
1990,NHL,LAK,DF,1,,80,46,24,10,,102,1.28,,,340,254,2228,27.9,80,391,18,63,370,4.25,3.18
1990,NHL,MNS,F,1,,80,27,39,14,,68,0.85,,,256,266,1964,24.6,76,382,7,75,378,3.2,3.32
1990,NHL,MTL,DF,1,,80,39,30,11,,89,1.11,,,273,249,1425,17.8,66,357,10,54,282,3.41,3.11
1990,NHL,NJD,DSF,1,,80,32,33,15,,79,0.99,,,272,264,2024,25.3,69,347,13,80,394,3.4,3.3
1990,NHL,NYI,,0,,80,25,45,10,,60,0.75,,,223,290,1723,21.5,51,317,12,78,353,2.79,3.62
1990,NHL,NYR,DSF,1,,80,36,31,13,,85,1.06,,,297,265,1893,23.7,91,389,10,73,362,3.71,3.31
1990,NHL,PHI,,0,,80,33,37,10,,76,0.95,,,252,267,1945,24.3,68,338,16,72,376,3.15,3.34
1990,NHL,PIT,SC,1,,80,41,33,6,,88,1.10,,,342,305,1641,20.5,89,388,12,73,351,4.28,3.81
1990,NHL,QUE,,0,,80,16,50,14,,46,0.58,,,236,354,1741,21.8,51,328,11,98,368,2.95,4.42
1990,NHL,STL,DF,1,,80,47,22,11,,105,1.31,,,310,250,1987,24.8,70,348,18,55,339,3.88,3.12
1990,NHL,TOR,,0,,80,23,46,11,,57,0.71,,,241,318,1962,24.5,61,346,6,83,368,3.01,3.98
1990,NHL,VAN,DSF,1,,80,28,43,9,,65,0.81,,,243,315,2063,25.8,65,391,16,76,339,3.04,3.94
1990,NHL,WAS,DF,1,,80,37,36,7,,81,1.01,,,258,258,1839,23.0,64,340,15,44,314,3.22,3.22
1990,NHL,WIN,,0,,80,26,43,11,,63,0.79,,,260,288,1675,20.9,74,381,12,57,351,3.25,3.6
1991,NHL,BOS,CF,1,,80,36,32,12,,84,1.05,,,270,275,1752,21.9,77,406,14,72,363,3.38,3.44
1991,NHL,BUF,DSF,1,,80,31,37,12,,74,0.93,,,289,299,2713,33.9,105,466,11,91,424,3.61,3.74
1991,NHL,CAL,,0,,80,31,37,12,,74,0.93,,,296,305,2643,33.0,87,414,10,107,489,3.7,3.81
1991,NHL,CHI,F,1,,80,36,29,15,,87,1.09,,,257,236,2663,33.3,81,467,10,76,482,3.21,2.95
1991,NHL,DET,DF,1,,80,43,25,12,,98,1.23,,,320,256,2078,26.0,72,386,7,78,419,4,3.2
1991,NHL,EDM,CF,1,,80,36,34,10,,82,1.03,,,295,297,1907,23.8,68,366,15,93,423,3.69,3.71
1991,NHL,HAR,DSF,1,,80,26,41,13,,65,0.81,,,247,283,1793,22.4,73,414,11,86,396,3.09,3.54
1991,NHL,LAK,DSF,1,,80,35,31,14,,84,1.05,,,287,296,2161,27.0,79,411,12,76,417,3.59,3.7
1991,NHL,MNS,DSF,1,,80,32,42,6,,70,0.88,,,246,278,2169,27.1,76,446,22,77,417,3.08,3.48
1991,NHL,MTL,DF,1,,80,41,28,11,,93,1.16,,,267,207,1556,19.5,74,379,5,60,320,3.34,2.59
1991,NHL,NJD,DSF,1,,80,38,31,11,,87,1.09,,,289,259,1611,20.1,59,338,10,68,374,3.61,3.24
1991,NHL,NYI,,0,,80,34,35,11,,79,0.99,,,291,299,1713,21.4,75,339,8,90,383,3.64,3.74
1991,NHL,NYR,DF,1,,80,50,25,5,,105,1.31,,,321,246,1805,22.6,81,387,12,60,395,4.01,3.08
1991,NHL,PHI,,0,,80,32,37,11,,75,0.94,,,252,273,1838,23.0,68,411,12,76,392,3.15,3.41
1991,NHL,PIT,SC,1,,80,39,32,9,,87,1.09,,,343,308,1907,23.8,92,423,14,77,383,4.29,3.85
1991,NHL,QUE,,0,,80,20,48,12,,52,0.65,,,255,318,2044,25.6,66,385,14,87,421,3.19,3.98
1991,NHL,SJS,,0,,80,17,58,5,,39,0.49,,,219,359,1894,23.7,64,374,17,89,407,2.74,4.49
1991,NHL,STL,DSF,1,,80,36,33,11,,83,1.04,,,279,266,2041,25.5,69,359,12,64,389,3.49,3.32
1991,NHL,TOR,,0,,80,30,43,7,,67,0.84,,,234,294,1734,21.7,66,377,5,69,362,2.92,3.68
1991,NHL,VAN,DF,1,,80,42,26,12,,96,1.20,,,285,250,2075,25.9,85,439,7,76,382,3.56,3.12
1991,NHL,WAS,DSF,1,,80,45,27,8,,98,1.23,,,330,275,1777,22.2,92,412,15,60,368,4.12,3.44
1991,NHL,WIN,DSF,1,,80,33,32,15,,81,1.01,,,251,244,1907,23.8,91,435,6,68,428,3.14,3.05
1992,NHL,BOS,DSF,1,,84,51,26,7,,109,1.30,,,332,268,1552,18.5,91,435,8,70,413,3.95,3.19
1992,NHL,BUF,DF,1,,84,38,36,10,,86,1.02,,,335,297,1873,22.3,95,467,17,72,437,3.99,3.54
1992,NHL,CAL,DSF,1,,84,43,30,11,,97,1.15,,,322,282,1951,23.2,85,447,9,83,492,3.83,3.36
1992,NHL,CHI,DSF,1,,84,47,25,12,,106,1.26,,,279,230,2394,28.5,94,510,10,81,490,3.32,2.74
1992,NHL,DET,DSF,1,,84,47,28,9,,103,1.23,,,369,280,1832,21.8,113,454,10,79,420,4.39,3.33
1992,NHL,EDM,,0,,84,26,50,8,,60,0.71,,,242,337,2027,24.1,66,416,10,106,464,2.88,4.01
1992,NHL,HAR,,0,,84,26,52,6,,58,0.69,,,284,369,2354,28.0,78,444,14,107,493,3.38,4.39
1992,NHL,LAK,F,1,,84,39,35,10,,88,1.05,,,338,340,2247,26.8,102,507,16,114,529,4.02,4.05
1992,NHL,MNS,,0,,84,36,38,10,,82,0.98,,,272,293,1885,22.4,85,445,17,81,455,3.24,3.49
1992,NHL,MTL,SC,1,,84,48,30,6,,102,1.21,,,326,280,1788,21.3,79,430,13,77,427,3.88,3.33
1992,NHL,NJD,DSF,1,,84,40,37,7,,87,1.04,,,308,299,1815,21.6,77,400,19,79,425,3.67,3.56
1992,NHL,NYI,CF,1,,84,40,37,7,,87,1.04,,,335,297,1701,20.3,90,416,8,77,375,3.99,3.54
1992,NHL,NYR,,0,,84,34,39,11,,79,0.94,,,304,308,1657,19.7,77,420,18,84,446,3.62,3.67
1992,NHL,OTT,,0,,84,10,70,4,,24,0.29,,,202,395,1716,20.4,66,448,11,115,460,2.4,4.7
1992,NHL,PHI,,0,,84,36,37,11,,83,0.99,,,319,319,1887,22.5,72,399,11,95,421,3.8,3.8
1992,NHL,PIT,DF,1,,84,56,21,7,,119,1.42,,,367,268,1776,21.1,105,440,19,72,429,4.37,3.19
1992,NHL,QUE,DSF,1,,84,47,27,10,,104,1.24,,,351,300,1846,22.0,101,464,16,85,438,4.18,3.57
1992,NHL,SJS,,0,,84,11,71,2,,24,0.29,,,218,414,2134,25.4,66,409,15,113,483,2.6,4.93
1992,NHL,STL,DF,1,,84,37,36,11,,85,1.01,,,282,278,1889,22.5,93,425,15,70,429,3.36,3.31
1992,NHL,TBL,,0,,84,23,54,7,,53,0.63,,,245,332,1625,19.3,74,424,12,101,395,2.92,3.95
1992,NHL,TOR,CF,1,,84,44,29,11,,99,1.18,,,288,241,1815,21.6,98,466,11,69,393,3.43,2.87
1992,NHL,VAN,DF,1,,84,46,29,9,,101,1.20,,,346,278,2326,27.7,79,457,11,97,452,4.12,3.31
1992,NHL,WAS,DSF,1,,84,43,34,7,,93,1.11,,,325,286,1709,20.3,97,445,8,74,433,3.87,3.4
1992,NHL,WIN,DSF,1,,84,40,37,7,,87,1.04,,,322,320,1851,22.0,98,468,14,80,437,3.83,3.81
1993,NHL,ANA,,0,,84,33,46,5,,71,0.85,,,229,251,1507,17.9,54,376,13,67,388,2.73,2.99
1993,NHL,BOS,CSF,1,,84,42,29,13,,97,1.15,,,289,252,1442,17.2,84,387,9,58,378,3.44,3
1993,NHL,BUF,CQF,1,,84,43,32,9,,95,1.13,,,282,218,1760,21.0,96,424,8,58,380,3.36,2.6
1993,NHL,CAL,CQF,1,,84,42,29,13,,97,1.15,,,302,256,1847,22.0,87,410,9,90,465,3.6,3.05
1993,NHL,CHI,CQF,1,,84,39,36,9,,87,1.04,,,254,240,2125,25.3,67,383,10,71,427,3.02,2.86
1993,NHL,DAL,CSF,1,,84,42,29,13,,97,1.15,,,286,265,1919,22.8,81,440,16,68,428,3.4,3.15
1993,NHL,DET,CQF,1,,84,46,30,8,,100,1.19,,,356,275,1775,21.1,85,408,14,73,383,4.24,3.27
1993,NHL,EDM,,0,,84,25,45,14,,64,0.76,,,261,305,1858,22.1,74,402,9,78,401,3.11,3.63
1993,NHL,FLO,,0,,84,33,34,17,,83,0.99,,,233,233,1620,19.3,65,409,15,69,396,2.77,2.77
1993,NHL,HAR,,0,,84,27,48,9,,63,0.75,,,227,288,1809,21.5,61,408,9,88,416,2.7,3.43
1993,NHL,LAK,,0,,84,27,45,12,,66,0.79,,,294,322,2017,24.0,92,444,8,90,462,3.5,3.83
1993,NHL,MTL,CQF,1,,84,41,29,14,,96,1.14,,,283,248,1524,18.1,78,388,10,68,390,3.37,2.95
1993,NHL,NJD,CF,1,,84,47,25,12,,106,1.26,,,306,220,1734,20.6,61,333,8,71,376,3.64,2.62
1993,NHL,NYI,CQF,1,,84,36,36,12,,84,1.00,,,282,264,1787,21.3,74,369,9,79,417,3.36,3.14
1993,NHL,NYR,SC,1,,84,52,24,8,,112,1.33,,,299,231,1688,20.1,96,417,5,67,435,3.56,2.75
1993,NHL,OTT,,0,,84,14,61,9,,37,0.44,,,201,397,1710,20.4,63,435,14,110,412,2.39,4.73
1993,NHL,PHI,,0,,84,35,39,10,,80,0.95,,,294,314,1697,20.2,80,385,14,80,414,3.5,3.74
1993,NHL,PIT,CQF,1,,84,44,27,13,,101,1.20,,,299,285,1624,19.3,76,404,11,72,401,3.56,3.39
1993,NHL,QUE,,0,,84,34,42,8,,76,0.90,,,277,292,1625,19.3,67,430,18,87,426,3.3,3.48
1993,NHL,SJS,CSF,1,,84,33,35,16,,82,0.98,,,252,265,1343,16.0,68,424,13,77,360,3,3.15
1993,NHL,STL,CQF,1,,84,40,33,11,,91,1.08,,,270,283,1659,19.8,86,420,14,73,388,3.21,3.37
1993,NHL,TBL,,0,,84,30,43,11,,71,0.85,,,224,251,1579,18.8,57,388,20,58,335,2.67,2.99
1993,NHL,TOR,CF,1,,84,43,29,12,,98,1.17,,,280,243,1877,22.3,88,459,9,74,409,3.33,2.89
1993,NHL,VAN,F,1,,84,41,40,3,,85,1.01,,,279,276,1923,22.9,83,441,11,84,458,3.32,3.29
1993,NHL,WAS,CSF,1,,84,39,35,10,,88,1.05,,,277,263,2007,23.9,70,386,12,74,403,3.3,3.13
1993,NHL,WIN,,0,,84,24,51,9,,57,0.68,,,245,344,2143,25.5,82,423,17,91,445,2.92,4.1
1995,NHL,ANA,,0,,82,35,39,8,,78,0.95,,,234,247,1707,20.8,60,426,5,81,423,2.85,3.01
1995,NHL,BOS,CQF,1,,82,40,31,11,,91,1.11,,,282,269,1039,12.7,68,363,7,67,341,3.44,3.28
1995,NHL,BUF,,0,,82,33,42,7,,73,0.89,,,247,262,2195,26.8,76,477,12,74,461,3.01,3.2
1995,NHL,CAL,CQF,1,,82,34,37,11,,79,0.96,,,241,240,1524,18.6,71,386,9,80,402,2.94,2.93
1995,NHL,CHI,CSF,1,,82,40,28,14,,94,1.15,,,273,220,1880,22.9,63,356,7,65,447,3.33,2.68
1995,NHL,COL,SC,1,,82,47,25,10,,104,1.27,,,326,240,1536,18.7,86,404,22,71,439,3.98,2.93
1995,NHL,DAL,,0,,82,26,42,14,,66,0.80,,,227,280,1652,20.1,67,443,20,82,418,2.77,3.41
1995,NHL,DET,CF,1,,82,62,13,7,,131,1.60,,,325,181,1551,18.9,97,455,9,44,375,3.96,2.21
1995,NHL,EDM,,0,,82,30,44,8,,68,0.83,,,240,304,1709,20.8,72,452,12,80,417,2.93,3.71
1995,NHL,FLO,F,1,,82,41,31,10,,92,1.12,,,254,234,1494,18.2,81,468,12,63,370,3.1,2.85
1995,NHL,HAR,,0,,82,34,39,9,,77,0.94,,,237,259,1844,22.5,67,372,9,83,429,2.89,3.16
1995,NHL,LAK,,0,,82,24,40,18,,66,0.80,,,256,302,1460,17.8,72,401,18,72,381,3.12,3.68
1995,NHL,MTL,CQF,1,,82,40,32,10,,90,1.10,,,265,248,1847,22.5,77,405,11,68,382,3.23,3.02
1995,NHL,NJD,,0,,82,37,33,12,,86,1.05,,,215,202,1486,18.1,55,368,9,49,319,2.62,2.46
1995,NHL,NYI,,0,,82,22,50,10,,54,0.66,,,229,315,1669,20.4,70,372,15,90,414,2.79,3.84
1995,NHL,NYR,CSF,1,,82,41,27,14,,96,1.17,,,272,237,1849,22.5,85,429,11,89,495,3.32,2.89
1995,NHL,OTT,,0,,82,18,59,5,,41,0.50,,,191,291,1553,18.9,53,430,14,83,375,2.33,3.55
1995,NHL,PHI,CSF,1,,82,45,24,13,,103,1.26,,,282,208,1785,21.8,82,417,7,62,437,3.44,2.54
1995,NHL,PIT,CF,1,,82,49,29,4,,102,1.24,,,362,284,1623,19.8,109,420,12,78,467,4.41,3.46
1995,NHL,SJS,,0,,82,20,55,7,,47,0.57,,,252,357,1480,18.0,62,385,20,93,397,3.07,4.35
1995,NHL,STL,CSF,1,,82,32,34,16,,80,0.98,,,219,248,1823,22.2,74,448,8,82,482,2.67,3.02
1995,NHL,TBL,CQF,1,,82,38,32,12,,88,1.07,,,238,248,1628,19.9,83,400,13,68,439,2.9,3.02
1995,NHL,TOR,CQF,1,,82,34,36,12,,80,0.98,,,247,252,1742,21.2,83,438,9,70,403,3.01,3.07
1995,NHL,VAN,CQF,1,,82,32,35,15,,79,0.96,,,278,278,1546,18.9,69,411,13,78,418,3.39,3.39
1995,NHL,WAS,CQF,1,,82,39,32,11,,89,1.09,,,234,204,1553,18.9,63,403,7,67,385,2.85,2.49
1995,NHL,WIN,CQF,1,,82,36,40,6,,78,0.95,,,275,291,1622,19.8,82,417,12,88,430,3.35,3.55
1996,NHL,ANA,CSF,1,,82,36,33,13,,85,1.04,,,245,233,1710,20.9,56,333,11,62,336,2.99,2.84
1996,NHL,BOS,,0,,82,26,47,9,,61,0.74,,,234,300,1369,16.7,46,310,6,56,308,2.85,3.66
1996,NHL,BUF,CSF,1,,82,40,30,12,,92,1.12,,,237,208,1840,22.4,43,326,4,59,364,2.89,2.54
1996,NHL,CAL,,0,,82,32,41,9,,73,0.89,,,214,239,1444,17.6,61,361,19,58,345,2.61,2.91
1996,NHL,CHI,CQF,1,,82,34,35,13,,81,0.99,,,223,210,1763,21.5,45,304,9,59,374,2.72,2.56
1996,NHL,COL,CF,1,,82,49,24,9,,107,1.30,,,277,205,1361,16.6,83,403,12,42,339,3.38,2.5
1996,NHL,DAL,CQF,1,,82,48,26,8,,104,1.27,,,252,198,1325,16.2,46,314,9,51,308,3.07,2.41
1996,NHL,DET,SC,1,,82,38,26,18,,94,1.15,,,253,197,1582,19.3,66,368,8,46,346,3.09,2.4
1996,NHL,EDM,CSF,1,,82,36,37,9,,81,0.99,,,252,247,1368,16.7,73,406,13,59,338,3.07,3.01
1996,NHL,FLO,CQF,1,,82,35,28,19,,89,1.09,,,221,201,1628,19.9,50,352,17,50,346,2.7,2.45
1996,NHL,HAR,,0,,82,32,39,11,,75,0.91,,,226,256,1513,18.5,58,321,11,51,332,2.76,3.12
1996,NHL,LAK,,0,,82,28,43,11,,67,0.82,,,214,268,1638,20.0,46,338,14,45,352,2.61,3.27
1996,NHL,MTL,CQF,1,,82,31,36,15,,77,0.94,,,249,276,1469,17.9,53,337,11,71,347,3.04,3.37
1996,NHL,NJD,CSF,1,,82,45,23,14,,104,1.27,,,231,182,1135,13.8,40,288,9,28,235,2.82,2.22
1996,NHL,NYI,,0,,82,29,41,12,,70,0.85,,,240,250,1640,20.0,48,346,9,53,319,2.93,3.05
1996,NHL,NYR,CF,1,,82,38,34,10,,86,1.05,,,258,231,1481,18.1,63,287,5,69,344,3.15,2.82
1996,NHL,OTT,CQF,1,,82,31,36,15,,77,0.94,,,226,234,1087,13.3,56,336,12,48,265,2.76,2.85
1996,NHL,PHI,F,1,,82,45,24,13,,103,1.26,,,274,217,1699,20.7,53,362,8,49,342,3.34,2.65
1996,NHL,PHO,CQF,1,,82,38,37,7,,83,1.01,,,240,243,1582,19.3,65,359,14,47,334,2.93,2.96
1996,NHL,PIT,CQF,1,,82,38,36,8,,84,1.02,,,285,280,1498,18.3,74,339,12,64,338,3.48,3.41
1996,NHL,SJS,,0,,82,27,47,8,,62,0.76,,,211,278,2085,25.4,50,349,11,66,409,2.57,3.39
1996,NHL,STL,CQF,1,,82,36,35,11,,83,1.01,,,236,239,1336,16.3,50,327,8,55,332,2.88,2.91
1996,NHL,TBL,,0,,82,32,40,10,,74,0.90,,,217,247,1686,20.6,47,340,9,55,361,2.65,3.01
1996,NHL,TOR,,0,,82,30,44,8,,68,0.83,,,230,273,1331,16.2,48,309,8,59,328,2.8,3.33
1996,NHL,VAN,,0,,82,35,40,7,,77,0.94,,,257,273,1607,19.6,51,303,8,66,344,3.13,3.33
1996,NHL,WAS,,0,,82,33,40,9,,75,0.91,,,214,231,1652,20.1,51,322,10,54,354,2.61,2.82
1997,NHL,ANA,,0,,82,26,43,13,,65,0.79,,,205,261,1843,22.5,46,392,10,72,396,2.5,3.18
1997,NHL,BOS,CQF,1,,82,39,30,13,,91,1.11,,,221,194,1117,13.6,62,359,3,44,285,2.7,2.37
1997,NHL,BUF,CF,1,,82,36,29,17,,89,1.09,,,211,187,1768,21.6,51,396,12,65,413,2.57,2.28
1997,NHL,CAL,,0,,82,26,41,15,,67,0.82,,,217,252,1859,22.7,43,356,13,69,430,2.65,3.07
1997,NHL,CAR,,0,,82,33,41,8,,74,0.90,,,200,219,1455,17.7,50,378,10,58,391,2.44,2.67
1997,NHL,CHI,,0,,82,30,39,13,,73,0.89,,,192,199,1546,18.9,47,364,5,58,381,2.34,2.43
1997,NHL,COL,CQF,1,,82,39,26,17,,95,1.16,,,231,205,1729,21.1,74,425,12,53,410,2.82,2.5
1997,NHL,DAL,CF,1,,82,49,22,11,,109,1.33,,,242,167,1301,15.9,77,385,9,42,351,2.95,2.04
1997,NHL,DET,SC,1,,82,44,23,15,,103,1.26,,,250,196,1346,16.4,67,381,7,51,376,3.05,2.39
1997,NHL,EDM,CSF,1,,82,35,37,10,,80,0.98,,,215,224,1690,20.6,77,483,11,66,406,2.62,2.73
1997,NHL,FLO,,0,,82,24,43,15,,63,0.77,,,203,256,1676,20.4,55,409,16,82,403,2.48,3.12
1997,NHL,LAK,CQF,1,,82,38,33,11,,87,1.06,,,227,225,1763,21.5,52,366,12,63,399,2.77,2.74
1997,NHL,MTL,CSF,1,,82,37,32,13,,87,1.06,,,235,208,1547,18.9,68,372,8,62,401,2.87,2.54
1997,NHL,NJD,CQF,1,,82,48,23,11,,107,1.30,,,225,166,1488,18.1,63,333,9,41,309,2.74,2.02
1997,NHL,NYI,,0,,82,30,41,11,,71,0.87,,,212,225,1646,20.1,61,364,16,54,384,2.59,2.74
1997,NHL,NYR,,0,,82,25,39,18,,68,0.83,,,197,231,1548,18.9,62,351,13,55,376,2.4,2.82
1997,NHL,OTT,CSF,1,,82,34,33,15,,83,1.01,,,193,200,1091,13.3,48,375,9,47,303,2.35,2.44
1997,NHL,PHI,CQF,1,,82,42,29,11,,95,1.16,,,242,193,1766,21.5,71,399,9,51,382,2.95,2.35
1997,NHL,PHO,CQF,1,,82,35,35,12,,82,1.00,,,224,227,1602,19.5,57,384,6,66,408,2.73,2.77
