year,lgID,tmID,playoff,made_playoff,,G,W,L,T,OTL,Pts,Pts/gm,SoW,SoL,GF,GA,PIM,PIM/gm,PPG,PPC,SHA,PKG,PKC,GF/gm,GA/gm
1945,NHL,CHI,SF,1,,50,23,20,7,,53,1.06,,,200,178,339,6.8,,,,,,4,3.56
1945,NHL,DET,SF,1,,50,20,20,10,,50,1.00,,,146,159,302,6.0,,,,,,2.92,3.18
1945,NHL,MTL,SC,1,,50,28,17,5,,61,1.22,,,172,134,337,6.7,,,,,,3.44,2.68
1945,NHL,NYR,,0,,50,13,28,9,,35,0.70,,,144,191,285,5.7,,,,,,2.88,3.82
1945,NHL,TOR,,0,,50,19,24,7,,45,0.90,,,174,185,247,4.9,,,,,,3.48,3.7
1946,NHL,BOS,SF,1,,60,26,23,11,,63,1.05,,,190,175,463,7.7,,,,,,3.17,2.92
1946,NHL,CHI,,0,,60,19,37,4,,42,0.70,,,193,274,474,7.9,,,,,,3.22,4.57
1946,NHL,DET,SF,1,,60,22,27,11,,55,0.92,,,190,193,528,8.8,,,,,,3.17,3.22
1946,NHL,MTL,F,1,,60,34,16,10,,78,1.30,,,189,138,561,9.4,,,,,,3.15,2.3
1946,NHL,NYR,,0,,60,22,32,6,,50,0.83,,,167,186,418,7.0,,,,,,2.78,3.1
1946,NHL,TOR,SC,1,,60,31,19,10,,72,1.20,,,209,172,669,11.2,,,,,,3.48,2.87
1947,NHL,BOS,SF,1,,60,23,24,13,,59,0.98,,,167,168,515,8.6,,,,,,2.78,2.8
1947,NHL,CHI,,0,,60,20,34,6,,46,0.77,,,195,225,565,9.4,,,,,,3.25,3.75
1947,NHL,DET,F,1,,60,30,18,12,,72,1.20,,,187,148,593,9.9,,,,,,3.12,2.47
1947,NHL,MTL,,0,,60,20,29,11,,51,0.85,,,147,169,722,12.0,,,,,,2.45,2.82
1947,NHL,NYR,SF,1,,60,21,26,13,,55,0.92,,,176,201,482,8.0,,,,,,2.93,3.35
1947,NHL,TOR,SC,1,,60,32,15,13,,77,1.28,,,182,143,765,12.8,,,,,,3.03,2.38
1948,NHL,BOS,SF,1,,60,29,23,8,,66,1.10,,,178,163,434,7.2,,,,,,2.97,2.72
1948,NHL,CHI,,0,,60,21,31,8,,50,0.83,,,173,211,695,11.6,,,,,,2.88,3.52
1948,NHL,DET,F,1,,60,34,19,7,,75,1.25,,,195,145,621,10.4,,,,,,3.25,2.42
1948,NHL,MTL,SF,1,,60,28,23,9,,65,1.08,,,152,126,782,13.0,,,,,,2.53,2.1
1948,NHL,NYR,,0,,60,18,31,11,,47,0.78,,,133,172,413,6.9,,,,,,2.22,2.87
1948,NHL,TOR,SC,1,,60,22,25,13,,57,0.95,,,147,161,706,11.8,,,,,,2.45,2.68
1949,NHL,BOS,,0,,70,22,32,16,,60,0.86,,,198,228,449,6.4,,,,,,2.83,3.26
1949,NHL,CHI,,0,,70,22,38,10,,54,0.77,,,203,244,620,8.9,,,,,,2.9,3.49
1949,NHL,DET,SC,1,,70,37,19,14,,88,1.26,,,229,164,736,10.5,,,,,,3.27,2.34
1949,NHL,MTL,SF,1,,70,29,22,19,,77,1.10,,,172,150,736,10.5,,,,,,2.46,2.14
1949,NHL,NYR,F,1,,70,28,31,11,,67,0.96,,,170,189,639,9.1,,,,,,2.43,2.7
1949,NHL,TOR,SF,1,,70,31,27,12,,74,1.06,,,176,173,804,11.5,,,,,,2.51,2.47
1950,NHL,BOS,SF,1,,70,22,30,18,,62,0.89,,,178,197,654,9.3,,,,,,2.54,2.81
1950,NHL,CHI,,0,,70,13,47,10,,36,0.51,,,171,280,615,8.8,,,,,,2.44,4
1950,NHL,DET,SF,1,,70,44,13,13,,101,1.44,,,236,139,566,8.1,,,,,,3.37,1.99
1950,NHL,MTL,F,1,,70,25,30,15,,65,0.93,,,173,184,835,11.9,,,,,,2.47,2.63
1950,NHL,NYR,,0,,70,20,29,21,,61,0.87,,,169,201,776,11.1,,,,,,2.41,2.87
1950,NHL,TOR,SC,1,,70,41,16,13,,95,1.36,,,212,138,823,11.8,,,,,,3.03,1.97
